sport,slateDate,commenceTime,matchup,predictedWinner,winner,score,winProbabilityPct,marketProb,marketEdge,marketDelta,marketGap,bookDivergence,reversalCount,movementPerReversal,runLineMoveAbs,bookAgreement,bookDivergenceFlag,runLineMove,runLineAligned,unconfirmedRunLine,steam,steamAligned,resistance,compressedMarket,missingFundamentals,lowPullDepth,favoriteRisk,opponentFavored,highReversalDirectional,highReversalWeak,selectedUnderdog,selectedFavorite,underdogPositiveMove,underdogEdgeImproving,favoriteFlatMoveRisk,favoriteCompressedRisk,lean,passTier,label
mlb,2026-07-03,2026-07-04T01:38:52Z,Boston Red Sox at Los Angeles Angels,Boston Red Sox,Boston Red Sox,55.21,60.69,0.59872,0.19744,0.00973,0.19743,0.01589,2.0,0.004865,5.818,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
mlb,2026-07-03,2026-07-04T01:40:39Z,Miami Marlins at Athletics,Miami Marlins,Miami Marlins,34.76,21.93,0.52925,0.058499999999999996,0.00503,0.05851,0.00886,3.0,0.0016766666666666666,8.636,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-03,2026-07-04T01:45:15Z,Milwaukee Brewers at Arizona Diamondbacks,Milwaukee Brewers,Milwaukee Brewers,51.82,53.78,0.57288,0.14575999999999995,0.00939,0.14576,0.02417,1.0,0.00939,8.364,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mlb,2026-07-03,2026-07-04T02:09:54Z,San Diego Padres at Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,31.11,17.16,0.6807,0.3614,-0.00939,0.3614,0.03719,4.0,0.0023475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
mlb,2026-07-03,2026-07-04T02:10:15Z,Toronto Blue Jays at Seattle Mariners,Seattle Mariners,Toronto Blue Jays,45.59,40.91,0.58994,0.17988000000000004,-0.00376,0.17988,0.01932,2.0,0.00188,5.636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
mlb,2026-07-03,2026-07-03T23:16:39Z,New York Mets at Atlanta Braves,Atlanta Braves,Atlanta Braves,49.65,49.27,0.60327,0.20653999999999995,0.00991,0.20655,0.01453,3.0,0.0033033333333333335,4.273,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
mlb,2026-07-03,2026-07-04T00:12:16Z,San Francisco Giants at Colorado Rockies,San Francisco Giants,Colorado Rockies,57.17,64.51,0.54422,0.08844000000000002,0.0095,0.08843,0.01332,1.0,0.0095,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
mlb,2026-07-03,2026-07-03T22:46:38Z,Pittsburgh Pirates at Washington Nationals,Pittsburgh Pirates,Washington Nationals,44.96,39.65,0.59641,0.19282,-0.0043,0.19282,0.01161,2.0,0.00215,18.727,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
mlb,2026-07-03,2026-07-03T23:07:15Z,Minnesota Twins at New York Yankees,New York Yankees,New York Yankees,45.68,41.1,0.59657,0.19314000000000003,0.0032,0.19314,0.01278,3.0,0.0010666666666666667,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
mlb,2026-07-03,2026-07-03T23:10:34Z,Chicago White Sox at Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,46.69,43.15,0.5658,0.1316,0.00231,0.13161,0.02546,1.0,0.00231,11.364,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
